pref,population,gender_ratio,change_ratio
北海道,5320,89.1,-5.9
青森県,1278,88.6,-11.6
岩手県,1255,92.9,-10.4
宮城県,2323,95.6,-2.9
秋田県,996,88.6,-14.0
山形県,1102,92.9,-10.3
福島県,1882,98.0,-9.7
茨城県,2892,99.5,-4.3
栃木県,1957,99.0,-4.6
群馬県,1960,97.6,-3.8
埼玉県,7310,99.6,2.8
千葉県,6246,98.7,1.6
東京都,13724,97.1,7.3
神奈川県,9159,99.5,1.5
新潟県,2267,94.0,-8.5
富山県,1056,93.9,-5.0
石川県,1147,94.1,-3.0
福井県,779,94.4,-4.9
山梨県,823,95.8,-7.7
長野県,2076,95.1,-5.9
岐阜県,2008,94.0,-6.7
静岡県,3675,97.0,-3.3
愛知県,7525,100.1,2.4
三重県,1800,95.0,-4.8
滋賀県,1413,97.4,-0.2
京都府,2599,91.6,-2.4
大阪県,8823,92.5,-1.0
兵庫県,5503,91.1,-3.1
奈良県,1348,89.2,-6.5
和歌山県,945,88.8,-9.6
鳥取県,565,91.5,-7.8
島根県,685,92.8,-7.3
岡山県,1907,92.4,-3.9
広島県,2829,94.2,-3.0
山口県,1383,90.1,-8.2
徳島県,743,91.0,-9.1
香川県,967,94.0,-4.8
愛媛県,1364,89.6,-7.9
高知県,714,89.1,-10.1
福岡県,5107,89.7,0.4
佐賀県,824,89.6,-5.5
長崎県,1354,88.6,-9.3
熊本県,1765,89.3,-5.0
大分県,1152,89.9,-6.5
宮崎県,1089,88.8,-6.7
鹿児島県,1626,88.5,-7.1
沖縄県,1443,96.7,2.6
